addr,name,comment
0x00001,ZKPVDKT,axis -
0x00002,DZWSTTA,axis -
0x00003,TTRQACNM,axis -
0x00005,TANSELI,axis -
0x00006,NWENGFS,axis -
0x00008,FKAPROG,axis -
0x0000A,DLATRNLN,axis -
0x0000B,KLMRHO,axis -
0x0000C,MDSM,axis -
0x00010,KRMXN,axis -
0x00013,LDIATA,axis -
0x00014,NLDIAPU,axis -
0x00016,TLRVAM,axis -
0x0001A,KLWDKPED,axis -
0x0001C,TLKRLDAB,axis -
0x0001E,NDLDRAPU,axis -
0x00020,NWDKSST,axis -
0x00022,KLETAZW_UM,axis -
0x0002D,KFDLULS,axis -
0x00032,FRLMNHO,axis -
0x00033,FKATEB,axis -
0x00039,TANDT,axis -
0x0003C,FNSTABNV,axis -
0x00040,WNWSTA,axis -
0x00055,NZHITL,axis -
0x0005D,DZWAML,axis -
0x00065,RLNOT,axis -
0x00075,TFWDKPN,axis -
0x00076,FUKNSTM,axis -
0x00078,NSTOEL,axis -
0x00079,FWFTBRTA,axis -
0x0007D,KRFKN,axis -
0x00080,KLFRTMKI,axis -
0x0008D,TLRBAM,axis -
0x000AB,TMODT,axis -
0x000B1,DMDNSM_1_A,axis -
0x000CD,PVDPUMXN,axis -
0x000FA,DZWOLA,axis -
0x000FF,BTRKHTMS,axis -
0x001EC,KIMSALLFACT,axis -
0x001FB,FPWDKAPP,axis -
0x00220,TVKTSPEV,axis -
0x00300,FWRLDKNM,axis -
0x00302,DATANAME,axis -
0x0051F,ZPVDKR,axis -
0x00666,O2VK,axis -
0x00CCD,KLKTKVK,axis -
0x01000,ZKKHCTEV,axis -
0x01006,KLPND,axis -
0x01714,DEVTMAGR,axis -
0x0189E,ZDBTMP,axis -
0x02492,TIPINOFSET,axis -
0x02660,MSNTATE,axis -
0x02900,KAKFAD,axis -
0x03200,TEBXLI,axis -
0x0370A,ZKGAFRANM,axis -
0x04186,NNWTWOTL,axis -
0x0665C,ZKMSDKTHFM,axis -
0x06D64,TWSTT,axis -
0x08000,FLAMPMR,axis -
0x082C0,FRLFSDP,axis -
0x0B885,KFLDRX,axis RPM
0x0B8A5,KFLDRX,axis Lambda
0x0C502,"Map """"Bosch II 16""""",axis Grad C
0x0C556,"Map """"Bosch II 16""""",axis Grad C
0x0C59E,"Map """"Bosch II 16""""",table -
0x0D729,FVRMDYN,axis -
0x0E906,KLWDKABST,axis -
0x0F16D,KFKASNH,axis 1/min
